Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score,GeneCards Link or Note,ensembl_gene_id
PHF5A,PHD Finger Protein 5A,Protein Coding,Q7RTV0,44,GC22M041459,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHF5A,ENSG00000100410
PIK3R1,Phosphoinositide-3-Kinase Regulatory Subunit 1,Protein Coding,P27986,60,GC05P068215,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3R1,ENSG00000145675
PLCB4,Phospholipase C Beta 4,Protein Coding,Q15147,54,GC20P009067,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLCB4,ENSG00000101333
PLRG1,Pleiotropic Regulator 1,Protein Coding,O43660,45,GC04M154534,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLRG1,ENSG00000171566
PNN,"Pinin, Desmosome Associated Protein",Protein Coding,Q9H307,44,GC14P039175,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNN,ENSG00000100941
POLR2A,RNA Polymerase II Subunit A,Protein Coding,P24928,53,GC17P111182,3.034716129,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR2A,ENSG00000284832
POLR2A,RNA Polymerase II Subunit A,Protein Coding,P24928,53,GC17P111182,3.034716129,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR2A,ENSG00000181222
POLR2B,RNA Polymerase II Subunit B,Protein Coding,P30876,50,GC04P056977,2.54916048,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR2B,ENSG00000047315
POLR2C,RNA Polymerase II Subunit C,Protein Coding,P19387,49,GC16P057462,2.54916048,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR2C,ENSG00000102978
POLR2D,RNA Polymerase II Subunit D,Protein Coding,O15514,48,GC02M128564,2.54916048,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR2D,ENSG00000144231
POLR2E,"RNA Polymerase II, I And III Subunit E",Protein Coding,P19388,50,GC19M001086,2.54916048,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR2E,ENSG00000099817
POLR2F,"RNA Polymerase II, I And III Subunit F",Protein Coding,P61218,47,GC22P037952,2.54916048,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR2F,ENSG00000100142
POLR2G,RNA Polymerase II Subunit G,Protein Coding,P62487,41,GC11P088854,2.54916048,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR2G,ENSG00000168002
POLR2H,"RNA Polymerase II, I And III Subunit H",Protein Coding,P52434,44,GC03P184361,2.54916048,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR2H,ENSG00000163882
POLR2I,RNA Polymerase II Subunit I,Protein Coding,P36954,43,GC19M036113,2.54916048,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR2I,ENSG00000105258
POLR2J,RNA Polymerase II Subunit J,Protein Coding,P52435,46,GC07M102473,2.54916048,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR2J,ENSG00000005075
POLR2K,"RNA Polymerase II, I And III Subunit K",Protein Coding,P53803,45,GC08P100150,2.54916048,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR2K,ENSG00000147669
POLR2L,"RNA Polymerase II, I And III Subunit L",Protein Coding,P62875,48,GC11M011841,2.54916048,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR2L,ENSG00000177700
PPARGC1A,PPARG Coactivator 1 Alpha,Protein Coding,Q9UBK2,55,GC04M023755,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARGC1A,ENSG00000109819
PPIE,Peptidylprolyl Isomerase E,Protein Coding,Q9UNP9,48,GC01P039692,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPIE,ENSG00000084072
PPIG,Peptidylprolyl Isomerase G,Protein Coding,Q13427,50,GC02P169584,1.868379593,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPIG,ENSG00000138398
PPIH,Peptidylprolyl Isomerase H,Protein Coding,O43447,46,GC01P048918,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPIH,ENSG00000171960
PPIL1,Peptidylprolyl Isomerase Like 1,Protein Coding,Q9Y3C6,48,GC06M036854,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPIL1,ENSG00000137168
PPIL2,Peptidylprolyl Isomerase Like 2,Protein Coding,Q13356,47,GC22P075039,1.868379593,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPIL2,ENSG00000100023
PPIL3,Peptidylprolyl Isomerase Like 3,Protein Coding,Q9H2H8,43,GC02M200870,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPIL3,ENSG00000240344
PPIL4,Peptidylprolyl Isomerase Like 4,Protein Coding,Q8WUA2,45,GC06M149504,1.382823944,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPIL4,ENSG00000131013
PPP1R7,Protein Phosphatase 1 Regulatory Subunit 7,Protein Coding,Q15435,46,GC02P241161,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1R7,ENSG00000115685
PPP1R8,Protein Phosphatase 1 Regulatory Subunit 8,Protein Coding,Q12972,47,GC01P027830,1.868379593,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1R8,ENSG00000117751
PPP1R9B,Protein Phosphatase 1 Regulatory Subunit 9B,Protein Coding,Q96SB3,49,GC17M050133,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1R9B,ENSG00000108819
PPP2CA,Protein Phosphatase 2 Catalytic Subunit Alpha,Protein Coding,P67775,57,GC05M134194,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP2CA,ENSG00000113575
PPP2R1A,Protein Phosphatase 2 Scaffold Subunit Aalpha,Protein Coding,P30153,56,GC19P113566,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP2R1A,ENSG00000105568
PPP4R2,Protein Phosphatase 4 Regulatory Subunit 2,Protein Coding,Q9NY27,40,GC03P072996,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP4R2,ENSG00000163605
PPWD1,Peptidylprolyl Isomerase Domain And WD Repeat Containing 1,Protein Coding,Q96BP3,41,GC05P065563,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPWD1,ENSG00000113593
PQBP1,Polyglutamine Binding Protein 1,Protein Coding,O60828,48,GC0XP048890,2.223830938,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PQBP1,ENSG00000102103
PQBP1,Polyglutamine Binding Protein 1,Protein Coding,O60828,48,GC0XP048890,2.223830938,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PQBP1,ENSG00000292208
PRCC,Proline Rich Mitotic Checkpoint Control Factor,Protein Coding,Q92733,46,GC01P156750,1.382823944,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRCC,ENSG00000143294
PRDX6,Peroxiredoxin 6,Protein Coding,P30041,54,GC01P173477,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRDX6,ENSG00000117592
PRKCZ,Protein Kinase C Zeta,Protein Coding,Q05513,57,GC01P020522,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCZ,ENSG00000067606
PRKRIP1,PRKR Interacting Protein 1,Protein Coding,Q9H875,38,GC07P106498,1.868379593,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKRIP1,ENSG00000128563
PRMT1,Protein Arginine Methyltransferase 1,Protein Coding,Q99873,56,GC19P049675,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRMT1,ENSG00000126457
PRMT5,Protein Arginine Methyltransferase 5,Protein Coding,O14744,53,GC14M022920,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRMT5,ENSG00000100462
PRPF18,Pre-MRNA Processing Factor 18,Protein Coding,Q99633,41,GC10P013586,1.868379593,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF18,ENSG00000165630
PRPF19,Pre-MRNA Processing Factor 19,Protein Coding,Q9UMS4,44,GC11M060890,2.223830938,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF19,ENSG00000110107
PRPF3,Pre-MRNA Processing Factor 3,Protein Coding,O43395,51,GC01P150321,2.223830938,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF3,ENSG00000117360
PRPF31,Pre-MRNA Processing Factor 31,Protein Coding,Q8WWY3,52,GC19P113671,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF31,ENSG00000105618
PRPF31,Pre-MRNA Processing Factor 31,Protein Coding,Q8WWY3,52,GC19P113671,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF31,ENSG00000274894
PRPF31,Pre-MRNA Processing Factor 31,Protein Coding,Q8WWY3,52,GC19P113671,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF31,ENSG00000277154
PRPF31,Pre-MRNA Processing Factor 31,Protein Coding,Q8WWY3,52,GC19P113671,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF31,ENSG00000275117
PRPF31,Pre-MRNA Processing Factor 31,Protein Coding,Q8WWY3,52,GC19P113671,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF31,ENSG00000274651
PRPF31,Pre-MRNA Processing Factor 31,Protein Coding,Q8WWY3,52,GC19P113671,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF31,ENSG00000276421
PRPF31,Pre-MRNA Processing Factor 31,Protein Coding,Q8WWY3,52,GC19P113671,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF31,ENSG00000274144
PRPF31,Pre-MRNA Processing Factor 31,Protein Coding,Q8WWY3,52,GC19P113671,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF31,ENSG00000277953
PRPF31,Pre-MRNA Processing Factor 31,Protein Coding,Q8WWY3,52,GC19P113671,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF31,ENSG00000277707
PRPF31,Pre-MRNA Processing Factor 31,Protein Coding,Q8WWY3,52,GC19P113671,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF31,ENSG00000275885
PRPF38A,Pre-MRNA Processing Factor 38A,Protein Coding,Q8NAV1,41,GC01P052404,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF38A,ENSG00000134748
PRPF38B,Pre-MRNA Processing Factor 38B,Protein Coding,Q5VTL8,38,GC01P108692,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF38B,ENSG00000134186
PRPF39,Pre-MRNA Processing Factor 39,Protein Coding,Q86UA1,41,GC14P045084,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF39,ENSG00000185246
PRPF4,Pre-MRNA Splicing Tri-SnRNP Complex Factor PRPF4,Protein Coding,O43172,50,GC09P113275,2.223830938,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF4,ENSG00000136875
PRPF40A,Pre-MRNA Processing Factor 40 Homolog A,Protein Coding,O75400,45,GC02M152651,2.223830938,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF40A,ENSG00000196504
PRPF40B,Pre-MRNA Processing Factor 40 Homolog B,Protein Coding,Q6NWY9,40,GC12P049568,0.841007054,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF40B,ENSG00000110844
PRPF6,Pre-MRNA Processing Factor 6,Protein Coding,O94906,49,GC20P063981,3.128165722,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF6,ENSG00000101161
PRPF8,Pre-MRNA Processing Factor 8,Protein Coding,Q6P2Q9,50,GC17M001650,3.128165722,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF8,ENSG00000174231
PRPF8,Pre-MRNA Processing Factor 8,Protein Coding,Q6P2Q9,50,GC17M001650,3.128165722,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF8,ENSG00000274442
PRX,Periaxin,Protein Coding,Q9BXM0,49,GC19M040393,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRX,ENSG00000105227
PTBP1,Polypyrimidine Tract Binding Protein 1,Protein Coding,P26599,50,GC19P000797,2.779341936,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTBP1,ENSG00000011304
PTBP2,Polypyrimidine Tract Binding Protein 2,Protein Coding,Q9UKA9,45,GC01P096721,0.841007054,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTBP2,ENSG00000117569
PTBP3,Polypyrimidine Tract Binding Protein 3,Protein Coding,O95758,44,GC09M112217,0.841007054,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTBP3,ENSG00000119314
PUF60,Poly(U) Binding Splicing Factor 60,Protein Coding,Q9UHX1,50,GC08M143816,2.223830938,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PUF60,ENSG00000179950
PUS1,Pseudouridine Synthase 1,Protein Coding,Q9Y606,52,GC12P131929,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PUS1,ENSG00000177192
PUS7,Pseudouridine Synthase 7,Protein Coding,Q96PZ0,48,GC07M105439,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PUS7,ENSG00000091127
QKI,"QKI, KH Domain Containing RNA Binding",Protein Coding,Q96PU8,50,GC06P163414,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=QKI,ENSG00000112531
RALY,RALY Heterogeneous Nuclear Ribonucleoprotein,Protein Coding,Q9UKM9,44,GC20P033993,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RALY,ENSG00000125970
RAP1GAP,RAP1 GTPase Activating Protein,Protein Coding,P47736,46,GC01M021596,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAP1GAP,ENSG00000076864
RBFOX1,RNA Binding Fox-1 Homolog 1,Protein Coding,Q9NWB1,49,GC16P080539,0.841007054,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBFOX1,ENSG00000078328
RBFOX2,RNA Binding Fox-1 Homolog 2,Protein Coding,O43251,47,GC22M035738,1.818811178,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBFOX2,ENSG00000277564
RBFOX2,RNA Binding Fox-1 Homolog 2,Protein Coding,O43251,47,GC22M035738,1.818811178,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBFOX2,ENSG00000100320
RBFOX3,RNA Binding Fox-1 Homolog 3,Protein Coding,A6NFN3,46,GC17M079089,0.841007054,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBFOX3,ENSG00000167281
RBM10,RNA Binding Motif Protein 10,Protein Coding,P0DW28,48,GC0XP057463,2.223830938,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM10,ENSG00000182872
RBM11,RNA Binding Motif Protein 11,Protein Coding,P57052,38,GC21P014216,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM11,ENSG00000185272
RBM12,RNA Binding Motif Protein 12,Protein Coding,Q9NTZ6,44,GC20M035648,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM12,ENSG00000244462
RBM12B,RNA Binding Motif Protein 12B,Protein Coding,Q8IXT5,40,GC08M093729,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM12B,ENSG00000183808
RBM14,RNA Binding Motif Protein 14,Protein Coding,Q96PK6,46,GC11P089196,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM14,ENSG00000239306
RBM15,RNA Binding Motif Protein 15,Protein Coding,Q96T37,45,GC01P110338,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM15,ENSG00000162775
RBM15B,RNA Binding Motif Protein 15B,Protein Coding,Q8NDT2,39,GC03P051391,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM15B,ENSG00000259956
RBM17,RNA Binding Motif Protein 17,Protein Coding,Q96I25,46,GC10P006089,2.353935242,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM17,ENSG00000134453
RBM19,RNA Binding Motif Protein 19,Protein Coding,Q9Y4C8,44,GC12M113816,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM19,ENSG00000122965
RBM20,RNA Binding Motif Protein 20,Protein Coding,Q5T481,44,GC10P111536,1.189363599,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM20,ENSG00000203867
RBM22,RNA Binding Motif Protein 22,Protein Coding,Q9NW64,44,GC05M150690,2.353935242,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM22,ENSG00000086589
RBM23,RNA Binding Motif Protein 23,Protein Coding,Q86U06,39,GC14M027011,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM23,ENSG00000100461
RBM24,RNA Binding Motif Protein 24,Protein Coding,Q9BX46,43,GC06P017281,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM24,ENSG00000112183
RBM25,RNA Binding Motif Protein 25,Protein Coding,P49756,41,GC14P073058,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM25,ENSG00000119707
RBM28,RNA Binding Motif Protein 28,Protein Coding,Q9NW13,46,GC07M129032,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM28,ENSG00000106344
RBM3,RNA Binding Motif Protein 3,Protein Coding,P98179,42,GC0XP048574,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM3,ENSG00000102317
RBM38,RNA Binding Motif Protein 38,Protein Coding,Q9H0Z9,43,GC20P057391,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM38,ENSG00000132819
RBM39,RNA Binding Motif Protein 39,Protein Coding,Q14498,43,GC20M035835,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM39,ENSG00000131051
RBM4,RNA Binding Motif Protein 4,Protein Coding,Q9BWF3,48,GC11P066638,0.841007054,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM4,ENSG00000173933
RBM41,RNA Binding Motif Protein 41,Protein Coding,Q96IZ5,36,GC0XM107052,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM41,ENSG00000089682
RBM42,RNA Binding Motif Protein 42,Protein Coding,Q9BTD8,40,GC19P112934,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM42,ENSG00000126254
RBM44,RNA Binding Motif Protein 44,Protein Coding,Q6ZP01,34,GC02P237798,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM44,ENSG00000177483
RBM47,RNA Binding Motif Protein 47,Protein Coding,A0AV96,39,GC04M040511,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM47,ENSG00000163694
RBM48,RNA Binding Motif Protein 48,Protein Coding,Q5RL73,43,GC07P092528,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM48,ENSG00000127993
RBM4B,RNA Binding Motif Protein 4B,Protein Coding,Q9BQ04,40,GC11M066664,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM4B,ENSG00000173914
RBM5,RNA Binding Motif Protein 5,Protein Coding,P52756,46,GC03P057658,2.223830938,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM5,ENSG00000003756
RBM6,RNA Binding Motif Protein 6,Protein Coding,P78332,45,GC03P049940,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM6,ENSG00000004534
RBM7,RNA Binding Motif Protein 7,Protein Coding,Q9Y580,44,GC11P114403,1.868379593,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM7,ENSG00000076053
RBM8A,RNA Binding Motif Protein 8A,Protein Coding,Q9Y5S9,51,GC01M145921,2.223830938,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM8A,ENSG00000265241
RBMX,RNA Binding Motif Protein X-Linked,Protein Coding,P38159,50,GC0XM136848,2.468559265,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBMX,ENSG00000147274
RBMX2,RNA Binding Motif Protein X-Linked 2,Protein Coding,Q9Y388,41,GC0XP130401,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBMX2,ENSG00000134597
RBMXL1,RBMX Like 1,Protein Coding,Q96E39,35,GC01M088979,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBMXL1,ENSG00000213516
RBMXL2,RBMX Like 2,Protein Coding,O75526,38,GC11P010997,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBMXL2,ENSG00000170748
RBMXL3,RBMX Like 3,Protein Coding,Q8N7X1,30,GC0XP115189,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBMXL3,ENSG00000175718
RBMY1A1,RNA Binding Motif Protein Y-Linked Family 1 Member A1,Protein Coding,P0DJD3,39,GC0YP021534,0.841007054,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBMY1A1,ENSG00000234414
RBMY1B,RNA Binding Motif Protein Y-Linked Family 1 Member B,Protein Coding,A6NDE4,30,GC0YP021511,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBMY1B,ENSG00000242875
RBMY1D,RNA Binding Motif Protein Y-Linked Family 1 Member D,Protein Coding,P0C7P1,27,GC0YM021869,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBMY1D,ENSG00000244395
RBMY1E,RNA Binding Motif Protein Y-Linked Family 1 Member E,Protein Coding,A6NEQ0,27,GC0YM021903,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBMY1E,ENSG00000242389
RBMY1F,RNA Binding Motif Protein Y-Linked Family 1 Member F,Protein Coding,Q15415,31,GC0YM022169,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBMY1F,ENSG00000169800
RBMY1J,RNA Binding Motif Protein Y-Linked Family 1 Member J,Protein Coding,Q15415,29,GC0YP022403,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBMY1J,ENSG00000226941
RBPMS,"RNA Binding Protein, MRNA Processing Factor",Protein Coding,Q93062,48,GC08P031170,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBPMS,ENSG00000157110
RBPMS2,"RNA Binding Protein, MRNA Processing Factor 2",Protein Coding,Q6ZRY4,42,GC15M064739,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBPMS2,ENSG00000166831
REST,RE1 Silencing Transcription Factor,Protein Coding,Q13127,52,GC04P056907,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=REST,ENSG00000084093
RNF113A,Ring Finger Protein 113A,Protein Coding,O15541,46,GC0XM119870,2.223830938,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF113A,ENSG00000125352
RNF113B,Ring Finger Protein 113B,Protein Coding,Q8IZP6,37,GC13M098175,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF113B,ENSG00000139797
RNPC3,"RNA Binding Region (RNP1, RRM) Containing 3",Protein Coding,Q96LT9,46,GC01P103525,2.66305542,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNPC3,ENSG00000185946
RNPS1,RNA Binding Protein With Serine Rich Domain 1,Protein Coding,Q15287,45,GC16M002253,2.353935242,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNPS1,ENSG00000205937
RNU1-1,"RNA, U1 Small Nuclear 1",RNA Gene,NA,20,GC01M016514,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNU1-1,ENSG00000206652
RNU1-1,"RNA, U1 Small Nuclear 1",RNA Gene,NA,20,GC01M016514,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNU1-1,ENSG00000291389
RNU1-2,"RNA, U1 Small Nuclear 2",RNA Gene,NA,13,GC01P016895,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNU1-2,ENSG00000291385
RNU1-2,"RNA, U1 Small Nuclear 2",RNA Gene,NA,13,GC01P016895,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNU1-2,ENSG00000207005
RNU1-3,"RNA, U1 Small Nuclear 3",RNA Gene,NA,13,GC01M019193,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNU1-3,ENSG00000207513
RNU1-3,"RNA, U1 Small Nuclear 3",RNA Gene,NA,13,GC01M019193,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNU1-3,ENSG00000291396
RNU1-4,"RNA, U1 Small Nuclear 4",RNA Gene,NA,15,GC01P016740,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNU1-4,ENSG00000291399
RNU1-4,"RNA, U1 Small Nuclear 4",RNA Gene,NA,15,GC01P016740,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNU1-4,ENSG00000207389
RNU4-1,"RNA, U4 Small Nuclear 1",RNA Gene,NA,16,GC12M120293,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNU4-1,ENSG00000200795
RNU6-1,"RNA, U6 Small Nuclear 1",RNA Gene,NA,21,GC15M067839,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNU6-1,ENSG00000206625
RP9,RP9 Pre-MRNA Splicing Factor,Protein Coding,Q8TA86,45,GC07M033094,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RP9,ENSG00000164610
RP9,RP9 Pre-MRNA Splicing Factor,Protein Coding,Q8TA86,45,GC07M033094,12.25,CK added,ENSG00000164610
RPS13,Ribosomal Protein S13,Protein Coding,P62277,50,GC11M017925,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS13,ENSG00000110700
RPS26,Ribosomal Protein S26,Protein Coding,P62854,52,GC12P060592,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS26,ENSG00000197728
RPUSD4,RNA Pseudouridine Synthase D4,Protein Coding,Q96CM3,40,GC11M126202,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPUSD4,ENSG00000165526
RRAGC,Ras Related GTP Binding C,Protein Coding,Q9HB90,48,GC01M038981,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RRAGC,ENSG00000116954
RRP1B,Ribosomal RNA Processing 1B,Protein Coding,Q14684,45,GC21P043659,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RRP1B,ENSG00000160208
RSRC1,Arginine And Serine Rich Coiled-Coil 1,Protein Coding,Q96IZ7,46,GC03P158105,0.841007054,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RSRC1,ENSG00000174891
RTCB,"RNA 2',3'-Cyclic Phosphate And 5'-OH Ligase",Protein Coding,Q9Y3I0,45,GC22M032387,1.463359833,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RTCB,ENSG00000100220
RTRAF,"RNA Transcription, Translation And Transport Factor",Protein Coding,Q9Y224,44,GC14P051992,1.463359833,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RTRAF,ENSG00000087302
SAP18,Sin3A Associated Protein 18,Protein Coding,O00422,46,GC13P021140,2.223830938,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SAP18,ENSG00000150459
SART1,"Spliceosome Associated Factor 1, Recruiter Of U4/U6.U5 Tri-SnRNP",Protein Coding,O43290,45,GC11P089126,2.223830938,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SART1,ENSG00000175467
SART3,"Spliceosome Associated Factor 3, U4/U6 Recycling Protein",Protein Coding,Q15020,43,GC12M108522,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SART3,ENSG00000075856
